mode,rho,S_tot,S_true,S_dir,phi_direct,lynn_metric,nll_gap
binary,0.0,0.609700,0.199116,0.591450,0.044449,0.029933,0.393355
binary,0.1,0.609868,0.188389,0.564559,0.107499,0.074293,0.375586
binary,0.2,0.611317,0.177855,0.535137,0.175748,0.124616,0.357328
binary,0.3,0.610885,0.166787,0.501314,0.246729,0.179366,0.333519
binary,0.5,0.609602,0.136554,0.413012,0.415582,0.322489,0.274714
binary,0.7,0.610291,0.094405,0.294628,0.611885,0.517233,0.200424
binary,0.9,0.610940,0.032235,0.126195,0.837638,0.793442,0.093195
gaussian,0.0,0.609643,0.033260,0.609754,-0.000193,-0.000183,0.576657
gaussian,0.1,0.611125,0.032290,0.609651,0.002546,0.002412,0.578774
gaussian,0.2,0.610860,0.029929,0.609901,0.001652,0.001571,0.580596
gaussian,0.3,0.611387,0.027101,0.609766,0.002774,0.002651,0.584100
gaussian,0.5,0.612444,0.020867,0.609706,0.004629,0.004472,0.591295
gaussian,0.7,0.676150,0.020173,0.677183,-0.001575,-0.001528,0.655865
gaussian,0.9,0.757097,0.021155,0.755855,0.001688,0.001641,0.735956
uniform,0.0,0.610738,0.338047,0.609642,0.004018,0.001794,0.272580
uniform,0.1,0.609885,0.335405,0.609296,0.002149,0.000967,0.274215
uniform,0.2,0.610171,0.330487,0.610061,0.000392,0.000180,0.280391
uniform,0.3,0.611135,0.323260,0.610438,0.002423,0.001141,0.288088
uniform,0.5,0.610298,0.302541,0.609835,0.001506,0.000759,0.308420
uniform,0.7,0.610010,0.282983,0.608590,0.004345,0.002329,0.326129
uniform,0.9,0.610233,0.282806,0.608963,0.003879,0.002082,0.327101
lognormal,0.0,0.609950,0.041580,0.569154,0.071779,0.066885,0.528404
lognormal,0.1,0.609520,0.040916,0.547197,0.109607,0.102250,0.505383
lognormal,0.2,0.610818,0.042366,0.525203,0.150611,0.140165,0.481397
lognormal,0.3,0.611372,0.044596,0.502329,0.192391,0.178358,0.460641
lognormal,0.5,0.611160,0.050562,0.465639,0.259581,0.238106,0.414460
lognormal,0.7,0.608440,0.053262,0.427244,0.326374,0.297804,0.374652
lognormal,0.9,0.610271,0.051997,0.374174,0.422906,0.386873,0.321748
half_normal,0.0,0.612482,0.092177,0.601153,0.021773,0.018496,0.512331
half_normal,0.1,0.608640,0.091274,0.597976,0.020612,0.017521,0.505493
half_normal,0.2,0.609793,0.090376,0.587602,0.042723,0.036391,0.496429
half_normal,0.3,0.610970,0.088613,0.570184,0.078082,0.066757,0.482083
half_normal,0.5,0.608553,0.083253,0.515807,0.176557,0.152403,0.431069
half_normal,0.7,0.610201,0.077399,0.440842,0.317865,0.277546,0.364964
half_normal,0.9,0.610018,0.068083,0.368670,0.445345,0.395641,0.299478
exponential,0.0,0.610571,0.034065,0.584488,0.045243,0.042719,0.550842
exponential,0.1,0.609405,0.033388,0.561192,0.083699,0.079114,0.526910
exponential,0.2,0.611332,0.033726,0.534913,0.132304,0.125005,0.500504
exponential,0.3,0.610785,0.034582,0.506596,0.180821,0.170583,0.474316
exponential,0.5,0.610850,0.038880,0.451363,0.278838,0.261091,0.411349
exponential,0.7,0.607599,0.045483,0.388716,0.389391,0.360243,0.343460
exponential,0.9,0.610633,0.052261,0.298798,0.558472,0.510675,0.246243
chi2,0.0,0.630290,0.018429,0.586676,0.071281,0.069197,0.569795
chi2,0.1,0.623193,0.018039,0.579608,0.072023,0.069938,0.558907
chi2,0.2,0.616415,0.017502,0.557788,0.097889,0.095110,0.540410
chi2,0.3,0.609390,0.016782,0.532521,0.129712,0.126140,0.515175
chi2,0.5,0.608751,0.016929,0.475648,0.224904,0.218650,0.457464
chi2,0.7,0.610316,0.018729,0.388704,0.374605,0.363110,0.369713
chi2,0.9,0.610418,0.022115,0.226404,0.652747,0.629099,0.202873
